date/time,PINALat,GILLlat,ClosestStation,Elevation [deg],ELFINeflux [erg/cm^2/s],ELFINenergy [keV]
2022-09-04/04:19:55,57.2439,57.3396,gill,13.284,0.278802,0.95
2022-09-04/04:19:56,57.2439,57.2367,gill,13.3038,0.303785,0.95
2022-09-04/04:19:57,57.2439,57.2367,gill,13.3038,0.303785,0.95
2022-09-04/04:19:58,57.0368,57.0977,gill,13.475,0.422121,0.95
2022-09-04/04:19:59,57.0368,57.0977,gill,13.475,0.577338,0.97
2022-09-04/04:20:00,57.0368,57.0601,gill,13.6905,0.556304,0.97
2022-09-04/04:20:01,57.0368,56.9281,gill,13.7135,0.730343,1.043
2022-09-04/04:20:02,56.8428,56.8932,gill,13.8941,0.86389,1.043
2022-09-04/04:20:03,56.8428,56.8591,gill,14.0679,0.929939,1.043
2022-09-04/04:20:04,56.6611,56.7316,gill,13.9139,1.05047,1.043
2022-09-04/04:20:05,56.6611,56.6992,gill,14.0524,1.21736,1.065
2022-09-04/04:20:06,56.6611,56.6672,gill,14.1839,1.27335,1.065
2022-09-04/04:20:07,56.4908,56.5347,gill,13.8526,1.24797,1.065
2022-09-04/04:20:08,56.4908,56.4703,gill,14.0377,1.38642,1.065
2022-09-04/04:20:09,56.4908,56.4385,gill,14.1197,1.58122,1.065
2022-09-04/04:20:10,56.3314,56.3755,gill,14.2626,1.6493,1.065
2022-09-04/04:20:11,56.3314,56.313,gill,14.3774,1.84855,1.156
2022-09-04/04:20:12,56.182,56.2508,gill,14.4639,1.95002,1.156
2022-09-04/04:20:13,56.182,56.1887,gill,14.5221,2.09975,1.254
2022-09-04/04:20:14,56.0421,56.0952,gill,14.5562,3.10578,1.483
2022-09-04/04:20:15,56.0421,56.0322,gill,14.5434,4.04079,1.715
2022-09-04/04:20:16,55.911,55.9684,gill,14.5022,5.68531,2.099
2022-09-04/04:20:17,55.911,55.9036,gill,14.4327,12.3455,2.923
2022-09-04/04:20:18,55.7882,55.8374,gill,14.3349,14.2875,3.14
2022-09-04/04:20:19,55.7882,55.7697,gill,14.2088,20.3682,3.767
2022-09-04/04:20:20,55.6732,55.7006,gill,14.0546,23.3946,4.096
2022-09-04/04:20:21,55.6732,55.6659,gill,13.967,25.2125,4.096
2022-09-04/04:20:22,55.5856,55.5609,gill,14.3326,28.7578,4.435
2022-09-04/04:20:23,55.473,55.487,gill,14.0792,28.7537,4.435
2022-09-04/04:20:24,55.473,55.4489,gill,13.9421,27.8094,4.435
2022-09-04/04:20:25,55.3676,55.4099,gill,13.7981,25.4441,4.096
2022-09-04/04:20:26,55.2689,55.2946,gill,13.9294,26.1518,4.096
2022-09-04/04:20:27,55.2689,55.2523,gill,13.7502,26.4146,4.096
2022-09-04/04:20:28,55.1764,55.2088,gill,13.5642,26.4513,4.096
2022-09-04/04:20:29,55.09,55.1277,gill,13.7328,28.1559,4.435
2022-09-04/04:20:30,55.09,55.081,gill,13.5186,27.7671,4.435
2022-09-04/04:20:31,55.0092,54.9938,gill,13.5951,21.897,3.767
2022-09-04/04:20:32,55.0092,54.9432,gill,13.353,21.7402,3.767
2022-09-04/04:20:33,54.8298,54.8481,gill,13.3374,18.0686,3.442
2022-09-04/04:20:34,54.7555,54.7927,gill,13.0678,17.8373,3.442
2022-09-04/04:20:35,54.6861,54.6877,gill,12.9606,21.0942,3.767
2022-09-04/04:20:36,54.6214,54.6877,gill,12.9606,21.0942,3.767
2022-09-04/04:20:37,54.6214,54.5744,gill,12.783,20.2909,3.767
2022-09-04/04:20:38,54.561,54.5744,gill,12.783,21.3512,3.767
2022-09-04/04:20:39,54.561,54.4515,gill,12.5352,17.811,3.442
2022-09-04/04:20:40,54.3409,54.4515,gill,12.5352,17.811,3.442
2022-09-04/04:20:41,54.2892,54.3173,gill,12.2178,17.1639,3.442
2022-09-04/04:20:42,54.2892,54.3173,gill,12.2178,17.1639,3.442
2022-09-04/04:20:43,54.2411,54.25,gill,12.2025,16.5378,3.442
2022-09-04/04:20:44,54.2411,54.1697,gill,11.8311,16.3221,3.442
2022-09-04/04:20:45,54.0028,54.0944,gill,11.7668,16.1439,3.442
2022-09-04/04:20:46,53.9647,54.0138,gill,11.6673,16.3099,3.442
2022-09-04/04:20:47,53.9647,53.9273,gill,11.5327,16.163,3.442
2022-09-04/04:20:48,53.9647,53.9273,gill,11.5327,16.163,3.442
2022-09-04/04:20:49,53.7542,53.8343,gill,11.3632,9.77699,2.715
2022-09-04/04:20:50,53.7244,53.7341,gill,11.1587,28.2755,4.435
2022-09-04/04:20:51,53.7244,53.7341,gill,11.1587,28.2755,4.435
2022-09-04/04:20:52,53.537,53.626,gill,10.9196,30.0251,4.435
2022-09-04/04:20:53,53.537,53.5113,gill,10.646,24.6155,4.096
2022-09-04/04:20:54,53.537,53.5113,gill,10.646,24.6155,4.096
2022-09-04/04:20:55,53.346,53.3868,gill,10.338,23.858,4.096
