model,time_utc,elfin_x_gsm_re,elfin_y_gsm_re,elfin_z_gsm_re,elfin_r_re,elfin_b_tot_nt,field_line_type,fp_north_x_gsm_re,fp_north_y_gsm_re,fp_north_z_gsm_re,fp_north_lat_deg,fp_north_lon_deg,fp_north_alt_km,fp_south_x_gsm_re,fp_south_y_gsm_re,fp_south_z_gsm_re,fp_south_lat_deg,fp_south_lon_deg,fp_south_alt_km,field_line_len_re,flux_tube_vol_re_nt,b_normal_north_nt,b_normal_south_nt,min_b_tot_nt
argus,2022-09-04T04:00:20Z,0.727388819408,-0.401900968809,0.632567062727,1.04439454814,49867.8212061,closed_100km,0.700625176511,-0.385982137426,0.624936378221,45.4318893021,89.0879783855,99.9998612157,0.718987910796,-0.364380201889,-0.618389490148,-30.3236478919,93.6588287281,99.9998947162,2.74202383145,0.000264031401370,-50552.9053533,47880.3795572,5712.61889994
argus,2022-09-04T04:00:21Z,0.726723252754,-0.401572250741,0.633536275333,1.04439224950,49890.4873993,closed_100km,0.699988500499,-0.385666438635,0.625837978726,45.4961873802,89.0769082096,99.9998612248,0.718446328864,-0.363961822083,-0.619259507012,-30.3859018512,93.6656063816,99.9998944586,2.75289370961,0.000266526576378,-50598.1994169,47920.4115687,5674.26511379
argus,2022-09-04T04:00:22Z,0.726056732364,-0.401242973084,0.634504614891,1.04438996949,49913.0754392,closed_100km,0.699350897958,-0.385350195123,0.626738845011,45.5604893152,89.0658229649,99.9998612352,0.717905820660,-0.363543866686,-0.620126066205,-30.4479595266,93.6723992963,99.9998942024,2.76380868413,0.000269049807242,-50643.3379194,47960.2117457,5635.53957791
argus,2022-09-04T04:00:23Z,0.725389247156,-0.400913099284,0.635472084057,1.04438768792,49935.5889255,closed_100km,0.698712375907,-0.385033382471,0.627638983728,45.6247957396,89.0547245342,99.9998612471,0.717364438490,-0.363125159948,-0.620992105924,-30.5100306435,93.6792257965,99.9998939469,2.77477035958,0.000271601495030,-50688.3214103,47999.9145942,5597.10238234
argus,2022-09-04T04:00:24Z,0.724720735482,-0.400582688603,0.636438688545,1.04438538822,49958.0302537,closed_100km,0.698072889915,-0.384716065794,0.628538403807,45.6891071999,89.0436064918,99.9998612603,0.716822076111,-0.362705740829,-0.621857723696,-30.5721224402,93.6860808250,99.9998936919,2.78577929292,0.000274182048205,-50733.1496909,48039.2577087,5559.35398557
argus,2022-09-04T04:00:25Z,0.724051270073,-0.400251718421,0.637404419927,1.04438310707,49980.3929713,closed_100km,0.697432477471,-0.384398204532,0.629437087986,45.7534226802,89.0324731379,99.9998612750,0.716279152251,-0.362285796985,-0.622722330012,-30.6341927152,93.6929644263,99.9998934378,2.79683536094,0.000276791797550,-50777.8223313,48078.7481794,5521.02529996
argus,2022-09-04T04:00:26Z,0.723380850931,-0.399920188765,0.638369278183,1.04438084443,50002.6769325,closed_100km,0.696791138669,-0.384079798766,0.630335035641,45.8177422295,89.0213243932,99.9998612910,0.715735647459,-0.361865301978,-0.623585964015,-30.6962442733,93.6998777506,99.9998931844,2.80793861810,0.000279431112240,-50822.3393044,48118.1218191,5483.21410408
argus,2022-09-04T04:00:27Z,0.722709430606,-0.399588074406,0.639333270172,1.04437856194,50024.8888590,closed_100km,0.696148861464,-0.383760844199,0.631232262078,45.8820670421,89.0101599425,99.9998613084,0.715190999880,-0.361443951705,-0.624449441769,-30.7583357510,93.7068240991,99.9998929315,2.81909006979,0.000282100443492,-50866.7013687,48157.4155185,5445.98683800
argus,2022-09-04T04:00:28Z,0.722037020183,-0.399255411957,0.640296393202,1.04437627972,50047.0248532,closed_100km,0.695505638987,-0.383441365394,0.632128759419,45.9463965851,88.9989777322,99.9998613273,0.714645922761,-0.361022177174,-0.625311701581,-30.8203910744,93.7137968032,99.9998926795,2.83028946526,0.000284800160848,-50910.9079178,48196.5818175,5408.12753803
argus,2022-09-04T04:00:29Z,0.721363656027,-0.398922190122,0.641258643048,1.04437401600,50069.0816316,closed_100km,0.694861490168,-0.383121342184,0.633024518588,46.0107303646,88.9877798825,99.9998613475,0.714100016238,-0.360599734044,-0.626173339688,-30.8824530781,93.7207999118,99.9998924282,2.84153704555,0.000287530631553,-50954.9587231,48235.6480317,5370.95451586
