time energy_keV flux_at_tel0_#/cm2-s-str flux_at_tel90 flux_error_at_tel0 flux_error_at_tel90 alt lat lon
 2022-09-04/04:21:06  40        241.94      85120.97     76.00     50.00  851.40   37.95  261.96
 2022-09-04/04:21:06 130         69.44      29687.50    102.00     23.00  851.40   37.95  261.96
 2022-09-04/04:21:06 287        133.33        266.67    103.00     75.00  851.40   37.95  261.96
 2022-09-04/04:21:06 612        181.82          0.00    124.00      0.00  851.40   37.95  261.96
 2022-09-04/04:21:08  40          0.00      85120.97      0.00     50.00  851.40   38.07  261.93
 2022-09-04/04:21:08 130          0.00      33020.83      0.00     23.00  851.40   38.07  261.93
 2022-09-04/04:21:08 287          0.00        666.67      0.00     51.00  851.40   38.07  261.93
 2022-09-04/04:21:08 612          0.00          0.00      0.00      0.00  851.40   38.07  261.93
 2022-09-04/04:21:10  40         80.65      90282.26    112.00     50.00  851.40   38.18  261.89
 2022-09-04/04:21:10 130         69.44      31354.17    102.00     23.00  851.40   38.18  261.89
 2022-09-04/04:21:10 287          0.00        666.67      0.00     51.00  851.40   38.18  261.89
 2022-09-04/04:21:10 612          0.00          0.00      0.00      0.00  851.40   38.18  261.89
 2022-09-04/04:21:12  40         80.65      85120.97    112.00     50.00  851.40   38.30  261.85
 2022-09-04/04:21:12 130         69.44      29687.50    102.00     23.00  851.40   38.30  261.85
 2022-09-04/04:21:12 287          0.00        400.00      0.00     63.00  851.40   38.30  261.85
 2022-09-04/04:21:12 612          0.00          0.00      0.00      0.00  851.40   38.30  261.85
 2022-09-04/04:21:14  40        241.94      90282.26     76.00     50.00  851.40   38.41  261.81
 2022-09-04/04:21:14 130         69.44      31354.17    102.00     23.00  851.40   38.41  261.81
 2022-09-04/04:21:14 287          0.00        666.67      0.00     51.00  851.40   38.41  261.81
 2022-09-04/04:21:14 612        181.82        181.82    124.00    124.00  851.40   38.41  261.81
 2022-09-04/04:21:16  40        322.58      85120.97     71.00     50.00  851.40   38.53  261.77
 2022-09-04/04:21:16 130        277.78      28298.61     55.00     23.00  851.40   38.53  261.77
 2022-09-04/04:21:16 287        266.67        400.00     75.00     63.00  851.40   38.53  261.77
 2022-09-04/04:21:16 612          0.00          0.00      0.00      0.00  851.40   38.53  261.77
 2022-09-04/04:21:18  40         80.65      80604.84    112.00     50.00  851.40   38.65  261.74
 2022-09-04/04:21:18 130          0.00      27187.50      0.00     23.00  851.40   38.65  261.74
 2022-09-04/04:21:18 287          0.00        400.00      0.00     63.00  851.40   38.65  261.74
 2022-09-04/04:21:18 612        363.64          0.00    101.00      0.00  851.40   38.65  261.74
 2022-09-04/04:21:20  40          0.00      80604.84      0.00     50.00  851.40   38.76  261.70
 2022-09-04/04:21:20 130          0.00      23854.17      0.00     23.00  851.40   38.76  261.70
 2022-09-04/04:21:20 287          0.00        133.33      0.00    103.00  851.40   38.76  261.70
 2022-09-04/04:21:20 612          0.00          0.00      0.00      0.00  851.40   38.76  261.70
 2022-09-04/04:21:22  40        161.29      76733.87     87.00     50.00  851.40   38.88  261.66
 2022-09-04/04:21:22 130         69.44      22743.05    102.00     23.00  851.40   38.88  261.66
 2022-09-04/04:21:22 287        133.33        533.33    103.00     56.00  851.40   38.88  261.66
 2022-09-04/04:21:22 612        181.82        181.82    124.00    124.00  851.40   38.88  261.66
 2022-09-04/04:21:24  40        483.87      76733.87     65.00     50.00  851.40   38.99  261.62
 2022-09-04/04:21:24 130        416.67      22743.05     46.00     23.00  851.40   38.99  261.62
 2022-09-04/04:21:24 287        666.67          0.00     51.00      0.00  851.40   38.99  261.62
 2022-09-04/04:21:24 612        363.64          0.00    101.00      0.00  851.40   38.99  261.62
 2022-09-04/04:21:26  40         80.65      76733.87    112.00     50.00  851.40   39.11  261.58
 2022-09-04/04:21:26 130          0.00      21631.94      0.00     23.00  851.40   39.11  261.58
 2022-09-04/04:21:26 287          0.00        666.67      0.00     51.00  851.40   39.11  261.58
 2022-09-04/04:21:26 612        181.82        181.82    124.00    124.00  851.40   39.11  261.58
 2022-09-04/04:21:28  40          0.00      76733.87      0.00     50.00  851.40   39.22  261.54
 2022-09-04/04:21:28 130          0.00      22743.05      0.00     23.00  851.40   39.22  261.54
 2022-09-04/04:21:28 287          0.00        266.67      0.00     75.00  851.40   39.22  261.54
 2022-09-04/04:21:28 612        181.82        181.82    124.00    124.00  851.40   39.22  261.54
 2022-09-04/04:21:30  40        322.58      76733.87     71.00     50.00  851.40   39.34  261.50
 2022-09-04/04:21:30 130        208.33      20520.83     62.00     23.00  851.40   39.34  261.50
 2022-09-04/04:21:30 287        400.00        133.33     63.00    103.00  851.40   39.34  261.50
 2022-09-04/04:21:30 612          0.00          0.00      0.00      0.00  851.40   39.34  261.50
 2022-09-04/04:21:32  40         80.65      80604.84    112.00     50.00  851.40   39.46  261.46
 2022-09-04/04:21:32 130          0.00      20520.83      0.00     23.00  851.40   39.46  261.46
 2022-09-04/04:21:32 287          0.00          0.00      0.00      0.00  851.40   39.46  261.46
 2022-09-04/04:21:32 612          0.00        181.82      0.00    124.00  851.40   39.46  261.46
 2022-09-04/04:21:34  40        241.94      72862.91     76.00     50.00  851.40   39.57  261.43
 2022-09-04/04:21:34 130         69.44      19409.72    102.00     23.00  851.40   39.57  261.43
 2022-09-04/04:21:34 287          0.00          0.00      0.00      0.00  851.40   39.57  261.43
 2022-09-04/04:21:34 612          0.00          0.00      0.00      0.00  851.40   39.57  261.43
